date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:21	800/800	---M--	200	added ('OK')	image/jpeg	etag:%225270b15e-320%22	http://mediaget.com/userfiles/images/flags/flag_china.jpg	D:/2/mediaget.com/userfiles/images/flags/flag_china.jpg	(from http://mediaget.com/)
16:44:21	18567/18567	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Dec%202018%2014:44:20%20GMT	http://mediaget.com/?lang=my	D:/2/mediaget.com/index5e26.html	(from http://mediaget.com/)
16:44:21	1632/1632	---M--	200	added ('OK')	image/jpeg	etag:%225270b15e-660%22	http://mediaget.com/userfiles/images/flags/flag_bulgaria.jpg	D:/2/mediaget.com/userfiles/images/flags/flag_bulgaria.jpg	(from http://mediaget.com/)
16:44:22	831/831	---M--	200	added ('OK')	image/jpeg	etag:%2253205837-33f%22	http://mediaget.com/userfiles/images/flags/flag_Ukraine.jpg	D:/2/mediaget.com/userfiles/images/flags/flag_Ukraine.jpg	(from http://mediaget.com/)
16:44:22	18346/18346	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Dec%202018%2014:44:21%20GMT	http://mediaget.com/?lang=cn	D:/2/mediaget.com/indexdb38.html	(from http://mediaget.com/)
16:44:22	180/180	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:21%20GMT	http://track.rtb-media.ru/pixelA909A0AD.gif	D:/2/track.rtb-media.ru/pixelA909A0AD.16.delayed	(from http://mediaget.com/)
16:44:23	35/35	---M--	200	added ('OK')	image/gif	date:Fri,%2014%20Dec%202018%2014:44:22%20GMT	http://track.rtb-media.ru/pixelA909A0AD.gif?_chk=p&url=http%3A%2F%2Fmediaget.com%2F	D:/2/track.rtb-media.ru/pixelA909A0AD6f18.gif	(from http://mediaget.com/)
16:44:23	19350/19350	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Dec%202018%2014:44:22%20GMT	http://mediaget.com/?lang=bg	D:/2/mediaget.com/index1f03.html	(from http://mediaget.com/)
16:44:24	19404/19404	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Dec%202018%2014:44:22%20GMT	http://mediaget.com/?lang=ua	D:/2/mediaget.com/index0873.html	(from http://mediaget.com/)
16:44:24	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:23%20GMT	http://mediaget.com/download.php?os=windows	D:/2/mediaget.com/download336c.php	(from http://mediaget.com/)
